feature,rf_importance,gbm_importance,rf_uten_lag1_importance
lag_1,0.8395245650557592,0.7905984250322714,
rolling_mean_5,0.07394932041418413,0.1279424069295388,0.45925617338026065
lag_10,0.022764392614794546,0.001958043003295859,0.1439086160178571
lag_5,0.01817054101194155,0.030910921740974488,0.2532388160765707
week_of_month,0.013297737401260262,8.984644205510021e-07,0.05550080043678871
is_monday,0.007855430386420425,0.00032094066107011214,0.0035740210256513865
day_4,0.006434238782903065,0.044049999877690496,0.0008038214435750285
day_3,0.005964842251208318,2.016813037666378e-06,0.007813817188939908
month,0.004089098128839869,0.0002195297463179627,0.019909252305300197
day_2,0.0036121088166508044,0.0024639890552587227,0.023529474808976422
day_0,0.0019282053852531327,0.0007861725688155334,0.0013610630640586122
day_1,0.001350989909824221,0.0,0.006460524300252014
days_since_last_order,0.0008354537819246086,0.0007466561073084363,0.013137788132143249
is_event,0.00016054131069337543,0.0,0.0004008299282219999
is_crazy_days,6.253474834220791e-05,0.0,0.011105001891404176
